episode,number_of_vehciles,number_of_pedestrians,accumulated_wait_times,accumulated_queue_length,accumulated_pedestrian_wait_times,accumulated_total_fuel_consumption,TL101_stopped,TL101_accumulated_waiting_time,TL101_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,rewards,accumulated_avg_wait_times,accumulated_pedestrian_avg_wait_times,accumulated_average_fuel_consumption,accumulated_avg_queue_length
12,1919.0,0.0,28100.0,28100.0,0.0,76850408.74384707,27352.0,1409398.0,116.6111784364336,27352.0,1409398.0,-503.4500000000001,14.643043251693593,0.0,40047.11242514178,2.927083333333333
13,1989.0,0.0,27223.0,27223.0,0.0,75067643.60927361,26449.0,1209105.0,127.41001879975292,26449.0,1209105.0,-470.64,13.686777275012568,0.0,37741.39950189724,2.835729166666667
14,2021.0,0.0,28818.0,28818.0,0.0,76311394.12668166,28075.0,1262987.0,120.26498447314702,28075.0,1262987.0,-499.47,14.259277585353786,0.0,37759.22519875391,3.001875
15,1967.0,0.0,31258.0,31258.0,0.0,79567144.09765631,30481.0,2022468.0,119.25939981695116,30481.0,2022468.0,-682.1800000000001,15.891204880528724,0.0,40451.01377613437,3.2560416666666665
16,2050.0,0.0,27802.0,27802.0,0.0,75827866.27020398,27034.0,1279462.0,128.3538773522116,27034.0,1279462.0,-479.1,13.561951219512196,0.0,36989.203058636085,2.896041666666666
17,2000.0,0.0,27833.0,27833.0,0.0,75896412.5721181,27049.0,1289577.0,121.15907497618318,27049.0,1289577.0,-504.2700000000001,13.9165,0.0,37948.20628605905,2.899270833333333
18,1984.0,0.0,26779.0,26779.0,0.0,73964349.64857356,26014.0,950517.0,126.98215946680372,26014.0,950517.0,-454.2,13.497479838709678,0.0,37280.418169643934,2.7894791666666667
19,1979.0,0.0,27758.0,27758.0,0.0,74882131.58379805,26998.0,1032194.0,123.60452499459976,26998.0,1032194.0,-475.25,14.026275896917635,0.0,37838.36866285904,2.891458333333333
20,1987.0,0.0,25441.0,25441.0,0.0,73200557.00598845,24676.0,1192306.0,128.35855670643085,24676.0,1192306.0,-463.58,12.80372420734776,0.0,36839.73679214316,2.6501041666666665
21,1995.0,0.0,25594.0,25594.0,0.0,73282813.58175403,24810.0,1005328.0,122.80268648004152,24810.0,1005328.0,-463.62,12.82907268170426,0.0,36733.23989060352,2.666041666666666
22,2006.0,0.0,25709.0,25709.0,0.0,73147155.61394677,24945.0,1048596.0,129.88723254826274,24945.0,1048596.0,-448.57,12.8160518444666,0.0,36464.18525121972,2.678020833333333
23,1925.0,0.0,25572.0,25572.0,0.0,73305071.6040851,24786.0,923056.0,131.1881300698522,24786.0,923056.0,-416.43,13.284155844155844,0.0,38080.55667744681,2.66375
24,2014.0,0.0,27441.0,27441.0,0.0,73725835.43966079,26674.0,1027681.0,123.99077174427354,26674.0,1027681.0,-469.34,13.625124131082424,0.0,36606.67102267169,2.8584375
25,1988.0,0.0,25666.0,25666.0,0.0,74200071.92776789,24891.0,1110598.0,129.36028950558887,24891.0,1110598.0,-432.97,12.91046277665996,0.0,37323.9798429416,2.6735416666666665
26,1942.0,0.0,25345.0,25345.0,0.0,72946010.91062863,24582.0,1141024.0,127.90301188127556,24582.0,1141024.0,-450.57,13.050978372811535,0.0,37562.31251834636,2.6401041666666667
27,2029.0,0.0,28359.0,28359.0,0.0,75581241.8632455,27578.0,1250862.0,122.37664258706272,27578.0,1250862.0,-486.66,13.976835879743716,0.0,37250.48884339354,2.9540625
28,1873.0,0.0,27976.0,27976.0,0.0,75919071.75374055,27238.0,1413429.0,123.94910771541429,27238.0,1413429.0,-490.44,14.936465563267486,0.0,40533.40723638043,2.9141666666666666
29,1972.0,0.0,28084.0,28084.0,0.0,76033403.18894331,27318.0,1326312.0,122.9691006878414,27318.0,1326312.0,-466.84,14.241379310344827,0.0,38556.49248932217,2.9254166666666666
30,1967.0,0.0,26530.0,26530.0,0.0,74629554.03044704,25751.0,1167198.0,124.15820556867436,25751.0,1167198.0,-449.17,13.487544483985763,0.0,37940.80021883429,2.763541666666667
31,1994.0,0.0,39547.0,39547.0,0.0,85315803.71957155,38788.0,2496789.0,115.12423473530228,38788.0,2496789.0,-928.92,19.832998996990973,0.0,42786.260641710905,4.119479166666666
