episode,accumulated_wait_times,accumulated_avg_wait_times,accumulated_queue_length,accumulated_avg_queue_length,accumulated_total_fuel_consumption,accumulated_avg_fuel_consumption,accumulated_pedestrian_wait_times,accumulated_pedestrian_avg_wait_times
130,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
131,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
132,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
133,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
134,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
135,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
136,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
137,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
138,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
139,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
140,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
141,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
142,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
143,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
144,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
145,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
146,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
147,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
148,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
149,70461,30.39732528041415,70461,7.3396875,109757154.53599964,47349.937245901485,0,0
